Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (deg),Value,Package
JF1,10.000000,-15.000000,Top,0.000000,FFC_12P_1.00mm,FFC_12P_1.00mm_TopContact
PS1,10.000000,-5.000000,Top,180.000000,854-22-012-30-004101,MillMax_854-22-012-30-004101
