Ref,Val,Package,PosX,PosY,Rot,Side
"R-CR24A","100n","C1_C_0402_1005Metric",110.067400,-178.216400,0.000000,bottom
"R-CR24B","4.7n","C1_C_0402_1005Metric",121.582400,-180.291400,0.000000,bottom
"R-CR25A","100n","C1_C_0402_1005Metric",120.288400,-166.491400,0.000000,bottom
"R-CR25B","4.7n","C1_C_0402_1005Metric",131.488400,-170.791400,0.000000,bottom
"R-CR26A","100n","C1_C_0402_1005Metric",131.367400,-178.216400,0.000000,bottom
"R-CR26B","4.7n","C1_C_0402_1005Metric",143.013400,-180.291400,0.000000,bottom
"R-CR27A","100n","C1_C_0402_1005Metric",50.502000,-169.081700,2.000000,bottom
"R-CR27B","4.7n","C1_C_0402_1005Metric",65.072100,-181.426300,2.000000,bottom
"R-CR28A","100n","C1_C_0402_1005Metric",31.682900,-172.060200,0.000000,bottom
"R-CR28B","4.7n","C1_C_0402_1005Metric",46.879100,-183.625400,0.000000,bottom
"R-CR29A","100n","C1_C_0402_1005Metric",12.844500,-175.044800,-4.000000,bottom
"R-CR29B","4.7n","C1_C_0402_1005Metric",28.040800,-186.610000,-4.000000,bottom
"R-CR30A","100n","C1_C_0402_1005Metric",89.332400,-185.541400,0.000000,bottom
"R-CR30B","4.7n","C1_C_0402_1005Metric",102.532400,-199.341400,0.000000,bottom
"R-CR31A","100n","C1_C_0402_1005Metric",93.694400,-185.541400,0.000000,bottom
"R-CR31B","4.7n","C1_C_0402_1005Metric",107.294400,-199.341400,0.000000,bottom
"R-CR32A","100n","C1_C_0402_1005Metric",108.382400,-185.541400,0.000000,bottom
"R-CR32B","4.7n","C1_C_0402_1005Metric",121.582400,-199.341400,0.000000,bottom
"R-CR33A","100n","C1_C_0402_1005Metric",122.670400,-185.541400,0.000000,bottom
"R-CR33B","4.7n","C1_C_0402_1005Metric",135.870400,-199.341400,0.000000,bottom
"R-CR34A","100n","C1_C_0402_1005Metric",127.432400,-183.716400,0.000000,bottom
"R-CR34B","4.7n","C1_C_0402_1005Metric",140.632400,-199.341400,0.000000,bottom
"R-CR35A","100n","C1_C_0402_1005Metric",52.493500,-188.026700,2.000000,bottom
"R-CR35B","4.7n","C1_C_0402_1005Metric",67.063800,-200.371300,2.000000,bottom
"R-CR36A","100n","C1_C_0402_1005Metric",17.182200,-192.415300,9.000000,bottom
"R-CR36B","4.7n","C1_C_0402_1005Metric",29.664500,-206.867700,9.000000,bottom
"R-CRGBR1","100n","C1_C_0402_1005Metric",55.531500,-127.095000,6.000000,bottom
"R-CRGBR2","100n","C1_C_0402_1005Metric",74.460000,-125.422300,3.000000,bottom
"R-CRGBR3","100n","C1_C_0402_1005Metric",97.775400,-121.591400,0.000000,bottom
"R-CRGBR4","100n","C1_C_0402_1005Metric",109.325400,-121.091400,0.000000,bottom
"R-CRGBR5","100n","C1_C_0402_1005Metric",133.975400,-121.091400,0.000000,bottom
"R-CRGBR6","100n","C1_C_0402_1005Metric",37.277500,-129.465800,9.000000,bottom
"R-CRGBR7","100n","C1_C_0402_1005Metric",18.473700,-132.457400,9.000000,bottom
"R-CRGBR8","100n","C1_C_0402_1005Metric",133.017400,-140.641400,0.000000,bottom
"R-CRGBR9","100n","C1_C_0402_1005Metric",109.205400,-140.641400,0.000000,bottom
"R-CRGBR10","100n","C1_C_0402_1005Metric",90.155400,-140.641400,0.000000,bottom
"R-CRGBR11","100n","C1_C_0402_1005Metric",67.123500,-144.949200,6.000000,bottom
"R-CRGBR12","100n","C1_C_0402_1005Metric",48.180300,-146.933600,6.000000,bottom
"R-CRGBR13","100n","C1_C_0402_1005Metric",29.926500,-149.769000,9.000000,bottom
"R-CRGBR14","100n","C1_C_0402_1005Metric",11.117300,-152.756800,9.000000,bottom
"R-CRGBR15","100n","C1_C_0402_1005Metric",62.161700,-164.512000,6.000000,bottom
"R-CRGBR16","100n","C1_C_0402_1005Metric",86.302100,-159.603800,3.000000,bottom
"R-CRGBR17","100n","C1_C_0402_1005Metric",105.394400,-159.691400,0.000000,bottom
"R-CRGBR18","100n","C1_C_0402_1005Metric",122.188400,-159.691400,0.000000,bottom
"R-CRGBR19","100n","C1_C_0402_1005Metric",44.119500,-166.654000,9.000000,bottom
"R-CRGBR20","100n","C1_C_0402_1005Metric",25.316300,-169.631200,9.000000,bottom
"R-CRGBR21","100n","C1_C_0402_1005Metric",122.188400,-178.741400,0.000000,bottom
"R-CRGBR22","100n","C1_C_0402_1005Metric",119.682400,-177.791400,0.000000,bottom
"R-CRGBR23","100n","C1_C_0402_1005Metric",100.632400,-178.741400,0.000000,bottom
"R-CRGBR24","100n","C1_C_0402_1005Metric",77.505600,-182.804100,3.000000,bottom
"R-CRGBR25","100n","C1_C_0402_1005Metric",58.722500,-184.155000,6.000000,bottom
"R-CRGBR26","100n","C1_C_0402_1005Metric",40.681100,-186.682600,9.000000,bottom
"R-CRGBR27","100n","C1_C_0402_1005Metric",21.842700,-189.667200,9.000000,bottom
"R-CRGBR28","100n","C1_C_0402_1005Metric",65.907200,-198.934400,6.000000,bottom
"R-CRGBR29","100n","C1_C_0402_1005Metric",106.044400,-187.741400,90.000000,bottom
"R-CRGBR31","100n","C1_C_0402_1005Metric",123.920400,-197.141400,-90.000000,bottom
"R-CRGBR32","100n","C1_C_0402_1005Metric",29.791300,-204.049600,9.000000,bottom
"R-CRGBR33","100n","C1_C_0402_1005Metric",121.650400,-125.191400,0.000000,bottom
"R-CRGBR34","100n","C1_C_0402_1005Metric",141.113400,-177.791400,0.000000,bottom
"R-CRGBR36","100n","C1_C_0402_1005Metric",119.682400,-197.791400,0.000000,bottom
"R-DR1","SK6812MINI-E","SK6812MINI-E_ReverseMount",55.155200,-123.514700,6.000000,bottom
"R-DR2","SK6812MINI-E","SK6812MINI-E_ReverseMount",74.271600,-121.827300,3.000000,bottom
"R-DR3","SK6812MINI-E","SK6812MINI-E_ReverseMount",93.075400,-121.591400,0.000000,bottom
"R-DR4","SK6812MINI-E","SK6812MINI-E_ReverseMount",114.025400,-121.091400,0.000000,bottom
"R-DR5","SK6812MINI-E","SK6812MINI-E_ReverseMount",129.275400,-121.091400,0.000000,bottom
"R-DR6","SK6812MINI-E","SK6812MINI-E_ReverseMount",36.714300,-125.910100,9.000000,bottom
"R-DR7","SK6812MINI-E","SK6812MINI-E_ReverseMount",17.910500,-128.901700,9.000000,bottom
"R-DR8","SK6812MINI-E","SK6812MINI-E_ReverseMount",128.317400,-140.641400,0.000000,bottom
"R-DR9","SK6812MINI-E","SK6812MINI-E_ReverseMount",104.505400,-140.641400,0.000000,bottom
"R-DR10","SK6812MINI-E","SK6812MINI-E_ReverseMount",85.455400,-140.641400,0.000000,bottom
"R-DR11","SK6812MINI-E","SK6812MINI-E_ReverseMount",66.747200,-141.368900,6.000000,bottom
"R-DR12","SK6812MINI-E","SK6812MINI-E_ReverseMount",47.804000,-143.353300,6.000000,bottom
"R-DR13","SK6812MINI-E","SK6812MINI-E_ReverseMount",29.363300,-146.213300,9.000000,bottom
"R-DR14","SK6812MINI-E","SK6812MINI-E_ReverseMount",10.554100,-149.201100,9.000000,bottom
"R-DR15","SK6812MINI-E","SK6812MINI-E_ReverseMount",61.785400,-160.931700,6.000000,bottom
"R-DR16","SK6812MINI-E","SK6812MINI-E_ReverseMount",80.709800,-159.896900,3.000000,bottom
"R-DR17","SK6812MINI-E","SK6812MINI-E_ReverseMount",100.694400,-159.691400,0.000000,bottom
"R-DR18","SK6812MINI-E","SK6812MINI-E_ReverseMount",126.888400,-159.691400,0.000000,bottom
"R-DR19","SK6812MINI-E","SK6812MINI-E_ReverseMount",43.556300,-163.098300,9.000000,bottom
"R-DR20","SK6812MINI-E","SK6812MINI-E_ReverseMount",24.753100,-166.075500,9.000000,bottom
"R-DR21","SK6812MINI-E","SK6812MINI-E_ReverseMount",126.888400,-178.741400,0.000000,bottom
"R-DR22","SK6812MINI-E","SK6812MINI-E_ReverseMount",114.982400,-177.791400,0.000000,bottom
"R-DR23","SK6812MINI-E","SK6812MINI-E_ReverseMount",95.932400,-178.741400,0.000000,bottom
"R-DR24","SK6812MINI-E","SK6812MINI-E_ReverseMount",77.317200,-179.209100,3.000000,bottom
"R-DR25","SK6812MINI-E","SK6812MINI-E_ReverseMount",58.346200,-180.574700,6.000000,bottom
"R-DR26","SK6812MINI-E","SK6812MINI-E_ReverseMount",40.117900,-183.126900,9.000000,bottom
"R-DR27","SK6812MINI-E","SK6812MINI-E_ReverseMount",21.279500,-186.111500,9.000000,bottom
"R-DR28","SK6812MINI-E","SK6812MINI-E_ReverseMount",60.337900,-199.519700,6.000000,bottom
"R-DR29","SK6812MINI-E","SK6812MINI-E_ReverseMount",106.044400,-192.441400,90.000000,bottom
"R-DR31","SK6812MINI-E","SK6812MINI-E_ReverseMount",123.920400,-192.441400,-90.000000,bottom
"R-DR32","SK6812MINI-E","SK6812MINI-E_ReverseMount",24.260200,-204.925600,9.000000,bottom
"R-DR33","SK6812MINI-E","SK6812MINI-E_ReverseMount",121.650400,-121.591400,0.000000,bottom
