Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (deg),Value,Package
LH-HEL30,49.625300,-87.735500,Bottom,0.000000,MT9102ET,HE_KEY_1.50u
LH-HEL32,92.779300,-88.174500,Bottom,1.778000,MT9102ET,HE_KEY_1.50u
LH-HEL33,130.758300,-90.966500,Bottom,5.955000,MT9102ET,HE_KEY_2.25u
LH-HEL4,76.317300,-11.555500,Bottom,0.122000,MT9102ET,HE_KEY_1.00u
LH-HEL5,95.977300,-11.943500,Bottom,2.185000,MT9102ET,HE_KEY_1.00u
LH-HEL6,116.904300,-13.243500,Bottom,5.012000,MT9102ET,HE_KEY_1.00u
LH-HEL7,137.824300,-15.360500,Bottom,6.500000,MT9102ET,HE_KEY_1.00u
LH-HEL8,22.003300,-30.585500,Bottom,0.000000,MT9102ET,HE_KEY_1.50u
LH-HEL9,45.815300,-30.585500,Bottom,0.000000,MT9102ET,HE_KEY_1.00u
LH-PTL1,155.715300,-58.010500,Bottom,-90.000000,856-10-012-30-051000,MillMax_856-10-012-30-051000
RH-AMR1,32.000000,-179.245100,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
RH-AMR2,54.500000,-177.745100,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
RH-AMR3,93.000000,-176.745100,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
RH-AMR4,124.000000,-164.745100,Bottom,90.000000,SN74LV4051A,AM1_SOIC-16_3.9x9.9mm_P1.27mm
RH-CMR1,40.000000,-183.745100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CMR2,61.000000,-183.745100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CMR3,105.000000,-174.745100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CMR4,132.000000,-167.745100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR10A,104.129000,-133.442100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR10B,117.329000,-147.242100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR11A,127.941000,-133.442100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR11B,141.141000,-147.242100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR12A,65.836400,-133.629200,Bottom,-0.665000,100n,C1_C_0402_1005Metric
RH-CR12B,79.195600,-147.275000,Bottom,-0.665000,4.7n,C1_C_0402_1005Metric
RH-CR13A,45.305500,-134.631700,Bottom,-3.302000,100n,C1_C_0402_1005Metric
RH-CR13B,59.278500,-147.648500,Bottom,-3.302000,4.7n,C1_C_0402_1005Metric
RH-CR14A,23.915000,-136.663100,Bottom,-5.971000,100n,C1_C_0402_1005Metric
RH-CR14B,38.479000,-149.015100,Bottom,-5.971000,4.7n,C1_C_0402_1005Metric
RH-CR15A,3.476300,-138.959600,Bottom,-6.500000,100n,C1_C_0402_1005Metric
RH-CR15B,18.153700,-151.176600,Bottom,-6.500000,4.7n,C1_C_0402_1005Metric
RH-CR16A,81.269000,-152.492100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR16B,94.469000,-166.292100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR17A,100.318000,-152.492100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR17B,113.518000,-166.292100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR18A,126.512000,-152.492100,Bottom,0.000000,100n,C1_C_0402_1005Metric
RH-CR18B,139.712000,-166.292100,Bottom,0.000000,4.7n,C1_C_0402_1005Metric
RH-CR19A,61.902500,-152.801300,Bottom,-1.102000,100n,C1_C_0402_1005Metric
RH-CR19B,75.365500,-166.344900,Bottom,-1.102000,4.7n,C1_C_0402_1005Metric
RH-CR1A,73.612300,-114.426200,Bottom,-0.122000,100n,C1_C_0402_1005Metric
RH-CR1B,86.841700,-128.198000,Bottom,-0.122000,4.7n,C1_C_0402_1005Metric
RH-CR20A,41.047500,-154.011200,Bottom,-3.869000,100n,C1_C_0402_1005Metric
RH-CR20B,55.148500,-166.889000,Bottom,-3.869000,4.7n,C1_C_0402_1005Metric
RH-CR21A,19.697100,-156.174900,Bottom,-6.268000,100n,C1_C_0402_1005Metric
