Ref,Val,Package,PosX,PosY,Rot,Side
"DL11","SK6812MINI-E","SK6812MINI-E_ReverseMount",40.480000,-33.925000,0.000000,bottom
"DL12","SK6812MINI-E","SK6812MINI-E_ReverseMount",16.668000,-33.925000,0.000000,bottom
"DL13","SK6812MINI-E","SK6812MINI-E_ReverseMount",115.620100,-39.496100,-9.000000,bottom
"DL14","SK6812MINI-E","SK6812MINI-E_ReverseMount",134.432700,-42.485900,-9.000000,bottom
"DL15","SK6812MINI-E","SK6812MINI-E_ReverseMount",120.233300,-59.359900,-9.000000,bottom
"DL16","SK6812MINI-E","SK6812MINI-E_ReverseMount",101.429700,-56.380500,-9.000000,bottom
"DL17","SK6812MINI-E","SK6812MINI-E_ReverseMount",83.199600,-54.215500,-6.000000,bottom
"DL18","SK6812MINI-E","SK6812MINI-E_ReverseMount",64.274400,-53.178900,-3.000000,bottom
"DL19","SK6812MINI-E","SK6812MINI-E_ReverseMount",44.291000,-52.975000,0.000000,bottom
"DL20","SK6812MINI-E","SK6812MINI-E_ReverseMount",18.097000,-52.975000,0.000000,bottom
"DL21","SK6812MINI-E","SK6812MINI-E_ReverseMount",18.097000,-72.025000,0.000000,bottom
"DL22","SK6812MINI-E","SK6812MINI-E_ReverseMount",49.053000,-72.025000,0.000000,bottom
"DL23","SK6812MINI-E","SK6812MINI-E_ReverseMount",67.669000,-72.491100,-3.000000,bottom
"DL24","SK6812MINI-E","SK6812MINI-E_ReverseMount",86.639400,-73.857700,-6.000000,bottom
"DL25","SK6812MINI-E","SK6812MINI-E_ReverseMount",104.867900,-76.411900,-9.000000,bottom
"DL26","SK6812MINI-E","SK6812MINI-E_ReverseMount",123.707100,-79.395100,-9.000000,bottom
"DL27","SK6812MINI-E","SK6812MINI-E_ReverseMount",15.715000,-91.075000,0.000000,bottom
"DL29","SK6812MINI-E","SK6812MINI-E_ReverseMount",44.291000,-91.075000,0.000000,bottom
"DL30","SK6812MINI-E","SK6812MINI-E_ReverseMount",84.647800,-92.803700,-6.000000,bottom
"DL31","SK6812MINI-E","SK6812MINI-E_ReverseMount",120.725100,-98.209100,-9.000000,bottom
"HEL1","MT9102ET","HE_KEY_1.00u",13.810000,-9.525000,0.000000,bottom
"HEL2","MT9102ET","HE_KEY_1.00u",32.860000,-9.525000,0.000000,bottom
"HEL3","MT9102ET","HE_KEY_1.00u",51.910000,-9.525000,0.000000,bottom
"HEL4","MT9102ET","HE_KEY_1.00u",70.994800,-9.767800,-3.000000,bottom
"HEL5","MT9102ET","HE_KEY_1.00u",90.389600,-11.478000,-6.000000,bottom
"HEL6","MT9102ET","HE_KEY_1.00u",109.108800,-13.908200,-9.000000,bottom
"HEL7","MT9102ET","HE_KEY_1.00u",127.911200,-16.901800,-9.000000,bottom
"HEL8","MT9102ET","HE_KEY_1.50u",16.668000,-28.575000,0.000000,bottom
"HEL9","MT9102ET","HE_KEY_1.00u",40.480000,-28.575000,0.000000,bottom
"HEL10","MT9102ET","HE_KEY_1.00u",59.530800,-28.575800,0.000000,bottom
"HEL11","MT9102ET","HE_KEY_1.00u",78.798000,-29.331800,-6.000000,bottom
"HEL12","MT9102ET","HE_KEY_1.00u",97.740200,-31.315000,-6.000000,bottom
"HEL13","MT9102ET","HE_KEY_1.00u",116.457000,-34.212000,-9.000000,bottom
"HEL14","MT9102ET","HE_KEY_1.00u",135.269600,-37.201800,-9.000000,bottom
"HEL15","MT9102ET","HE_KEY_1.75u",18.097000,-47.625000,0.000000,bottom
"HEL16","MT9102ET","HE_KEY_1.00u",44.291000,-47.625000,0.000000,bottom
"HEL17","MT9102ET","HE_KEY_1.00u",64.554400,-47.836200,-3.000000,bottom
"HEL18","MT9102ET","HE_KEY_1.00u",83.758800,-48.894800,-6.000000,bottom
"HEL19","MT9102ET","HE_KEY_1.00u",102.266600,-51.096400,-9.000000,bottom
"HEL20","MT9102ET","HE_KEY_1.00u",121.070200,-54.075800,-9.000000,bottom
"HEL21","MT9102ET","HE_KEY_2.25u",18.097000,-66.675000,0.000000,bottom
"HEL22","MT9102ET","HE_KEY_1.00u",49.053000,-66.675000,0.000000,bottom
"HEL23","MT9102ET","HE_KEY_1.00u",67.949000,-67.148400,-3.000000,bottom
"HEL24","MT9102ET","HE_KEY_1.00u",87.198600,-68.537000,-6.000000,bottom
"HEL25","MT9102ET","HE_KEY_1.00u",105.704800,-71.127800,-9.000000,bottom
"HEL26","MT9102ET","HE_KEY_1.00u",124.544000,-74.111000,-9.000000,bottom
"HEL28","MT9102ET","HE_KEY_1.50u",15.715000,-85.725000,0.000000,bottom
"HEL30","MT9102ET","HE_KEY_1.50u",44.291000,-85.725000,180.000000,bottom
"HEL32","MT9102ET","HE_KEY_1.50u",85.207000,-87.483000,-6.000000,bottom
"HEL33","MT9102ET","HE_KEY_2.25u",121.562000,-92.925000,-9.000000,bottom
"JL1","FFC_12P","FFC_12P_1.00mm_TopContact",140.209000,-58.000000,-90.000000,bottom
