Comment,Designator,Footprint,LCSC Part #,Manufacturer,Manufacturer Part Number
100n,"CL1A,CL2A,CL3A,CL4A,CL5A,CL6A,CL7A,CL8A,CL9A,CL10A,CL11A,CL12A,CL13A,CL14A,CL15A,CL16A,CL17A,CL18A,CL19A,CL20A,CL21A,CL22A,CL23A,CL24A,CL25A,CL26A,CL27A,CL29A,CL31A,CL32A,CL33A,CML1,CML2,CML3,CML4",C1_C_0402_1005Metric,C1525,Samsung,CL05B104KO5NNNC
4.7n,"CL1B,CL2B,CL3B,CL4B,CL5B,CL6B,CL7B,CL8B,CL9B,CL10B,CL11B,CL12B,CL13B,CL14B,CL15B,CL16B,CL17B,CL18B,CL19B,CL20B,CL21B,CL22B,CL23B,CL24B,CL25B,CL26B,CL27B,CL29B,CL31B,CL32B,CL33B",C1_C_0402_1005Metric,C1518204,Murata,GRM1555C1H472JE01D
856-10-012-30-051000,PTL1,MillMax_856-10-012-30-051000,,Mill-Max,856-10-012-30-051000
MT9102ET,"HEL1,HEL2,HEL3,HEL4,HEL5,HEL6,HEL7,HEL9,HEL10,HEL11,HEL12,HEL13,HEL14,HEL16,HEL17,HEL18,HEL19,HEL20,HEL22,HEL23,HEL24,HEL25,HEL26,HEL29,HEL31",HE_KEY_1.00u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,"HEL8,HEL32",HE_KEY_1.50u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,"HEL21,HEL33",HE_KEY_2.25u,C5447698,NOVOSENSE,MT9102ET
MT9102ET,"HEL15,HEL27",HE_SHARED_MIDPOINT,C5447698,NOVOSENSE,MT9102ET
SN74LV4051A,"AML1,AML2,AML3,AML4",AM1_SOIC-16_3.9x9.9mm_P1.27mm,C128414,Texas Instruments,SN74LV4051ADR
