Comment,Designator,Footprint,LCSC Part #
100n,"CL10A,CL11A,CL12A,CL13A,CL14A,CL15A,CL16A,CL17A,CL18A,CL19A,CL1A,CL20A,CL21A,CL22A,CL23A,CL24A,CL25A,CL26A,CL28A,CL2A,CL30A,CL32A,CL33A,CL3A,CL4A,CL5A,CL6A,CL7A,CL8A,CL9A,CML1,CML2,CML3,CML4,CML5,CRGBL1,CRGBL2,CRGBL3,CRGBL4,CRGBL5,CRGBL6,CRGBL7,CRGBL8,CRGBL9,CRGBL10,CRGBL11,CRGBL12,CRGBL13,CRGBL14,CRGBL15,CRGBL16,CRGBL17,CRGBL18,CRGBL19,CRGBL20,CRGBL21,CRGBL22,CRGBL23,CRGBL24,CRGBL25,CRGBL26,CRGBL27,CRGBL29,CRGBL30,CRGBL31",C1_C_0402_1005Metric,C1525
4.7n,"CL10B,CL11B,CL12B,CL13B,CL14B,CL15B,CL16B,CL17B,CL18B,CL19B,CL1B,CL20B,CL21B,CL22B,CL23B,CL24B,CL25B,CL26B,CL28B,CL2B,CL30B,CL32B,CL33B,CL3B,CL4B,CL5B,CL6B,CL7B,CL8B,CL9B",C1_C_0402_1005Metric,C1518204
FFC_12P,JL1,FFC_12P_1.00mm_TopContact,C20111
MT9102ET,"HEL1,HEL2,HEL3,HEL4,HEL5,HEL6,HEL7,HEL9,HEL10,HEL11,HEL12,HEL13,HEL14,HEL16,HEL17,HEL18,HEL19,HEL20,HEL22,HEL23,HEL24,HEL25,HEL26",HE_KEY_1.00u,C5447698
MT9102ET,"HEL8,HEL28,HEL30,HEL32",HE_KEY_1.50u,C5447698
MT9102ET,HEL15,HE_KEY_1.75u,C5447698
MT9102ET,"HEL21,HEL33",HE_KEY_2.25u,C5447698
SK6812MINI-E,"DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9,DL10,DL11,DL12,DL13,DL14,DL15,DL16,DL17,DL18,DL19,DL20,DL21,DL22,DL23,DL24,DL25,DL26,DL27,DL29,DL30,DL31",SK6812MINI-E_ReverseMount,C5149201
SN74LV4051A,"AML1,AML2,AML3,AML4,AML5",AM1_SOIC-16_3.9x9.9mm_P1.27mm,C128414
