Comment,Designator,Footprint,LCSC Part #,Manufacturer,Manufacturer Part Number
854-22-012-30-004101,PS1,MillMax_854-22-012-30-004101,,Mill-Max,854-22-012-30-004101
FFC_12P_1.00mm,JF1,FFC_12P_1.00mm_TopContact,C20111,BOOMELE,1.0-12P
