Comment,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,LCSC Part #,Assembly Method
854-22-012-30-004101,PS1,MillMax_854-22-012-30-004101,1,Mill-Max,854-22-012-30-004101,,Hand/consigned after reflow
FFC_12P_1.00mm,JF1,FFC_12P_1.00mm_TopContact,1,BOOMELE,1.0-12P,C20111,JLCPCB SMT
